Company Name,Required Skills,More Info
Fluper Limited,"c#, python, virtualreality, mobile, augmentedreality, opencv",https://www.timesjobs.com/job-detail/python-developer-fluper-limited-noida-greater-noida-2-to-7-yrs-jobid-ETCeznAalQBzpSvf__PLUS__uAgZw==&source=srp
Wing Global IT Services,"springboot, python, java, django, jpa, hibernate",https://www.timesjobs.com/job-detail/python-developer-wing-global-it-services-panchkula-2-to-5-yrs-jobid-__PLUS__fePw2G3HHZzpSvf__PLUS__uAgZw==&source=srp
Cybage Software Pvt Ltd,"python, html5, javascript, nosql, docker, django, softwaredeveloper, mongodb",https://www.timesjobs.com/job-detail/python-developer-cybage-software-pvt-ltd-gandhinagar-hyderabad-secunderabad-pune-4-to-7-yrs-jobid-GN9SDLPIUuJzpSvf__PLUS__uAgZw==&source=srp
young minds technology solutions pvt ltd,"python, html5, storage, javascript, security, django",https://www.timesjobs.com/job-detail/python-developer-young-minds-technology-solutions-pvt-ltd-tirupati-0-to-3-yrs-jobid-NDA__SLASH__WwOTUCFzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"python, cloudservices, sql, nosql, git, django, debugging, mongodb",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-panchkula-3-to-6-yrs-jobid-p__SLASH____SLASH__J0QhWlrxzpSvf__PLUS__uAgZw==&source=srp
Root Info Solutions,"rest, python, css, restapi, javascript, oop, django, postgresql, html, mysql",https://www.timesjobs.com/job-detail/python-developer-root-info-solutions-delhi-delhi-ncr-2-to-5-yrs-jobid-iVl9Z52tAx9zpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"algorithms, docker, sql, productionenvironment, naturallanguageprocessing, datastructures, hadoop, python, informationretrieval, problemsolving, machinelearning",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-chandigarh-3-to-8-yrs-jobid-7yl8od75ldNzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"rest, python, html5, teamplayer, javascript, docker, node.js, django, cloudstorage, json, mongodb",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-2-to-7-yrs-jobid-Nhqiq__SLASH____PLUS__NaBZzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"rest, python, html5, teamplayer, javascript, docker, node.js, django, cloudstorage, json, mongodb",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-2-to-7-yrs-jobid-J__SLASH____SLASH__U3SsUpfRzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"rest, python, html5, teamplayer, javascript, docker, node.js, django, cloudstorage, json, mongodb",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-2-to-7-yrs-jobid-udtlT5fPYBtzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"rest, python, html5, teamplayer, javascript, docker, node.js, django, cloudstorage, json, mongodb",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-bengaluru-bangalore-2-to-7-yrs-jobid-G4ZQKVz2pBhzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"rest, python, html5, javascript, docker, node.js, django, json, mongodb",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-2-to-7-yrs-jobid-zawbtwCTO25zpSvf__PLUS__uAgZw==&source=srp
TECHNOPARK TRIVANDRUM,"python, django, git, restapi, svn, javascript, sql",https://www.timesjobs.com/job-detail/python-developer-technopark-trivandrum-cochin-kochi-ernakulam-3-to-7-yrs-jobid-1O__SLASH__KVmriVD5zpSvf__PLUS__uAgZw==&source=srp
magnarus technologies private limited,"imageprocessing, python, c, cprogramming, operatingsystem, teamplayer, database, mysql, unix",https://www.timesjobs.com/job-detail/python-developer-magnarus-technologies-private-limited-hyderabad-secunderabad-1-to-3-yrs-jobid-l6loUoeRNOhzpSvf__PLUS__uAgZw==&source=srp
Minivet System,"python, nosql, django, postgresql, multithreading, mysql, technicalskills, mongodb, couchdb, middleware",https://www.timesjobs.com/job-detail/python-developer-minivet-system-kolkata-1-to-4-yrs-jobid-2P__SLASH__ZhhQlpohzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"python, html5, softwaredesign, mobile, ajax, jquery, java, xml, webtechnologies, php, debugging, mysql",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-chandigarh-3-to-6-yrs-jobid-ixT88cfRnwFzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"python, html5, mobile, ajax, jquery, java, xml, webtechnologies, php, mysql",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-chandigarh-3-to-6-yrs-jobid-w0vOBZPygzZzpSvf__PLUS__uAgZw==&source=srp
v support solutions,"rest, python, naturallanguageprocessing, django, debugging, mysql, softwaredeveloper, mongodb, soap",https://www.timesjobs.com/job-detail/python-developer-v-support-solutions-chennai-2-to-5-yrs-jobid-xZ1x7dJZmzNzpSvf__PLUS__uAgZw==&source=srp
Blocklogy Edutech Private limited,"python, c, c, naturallanguageprocessing, scala, datamining, machinelearning, artificialintelligence, patternrecognition",https://www.timesjobs.com/job-detail/python-trainer-blocklogy-edutech-private-limited-navi-mumbai-1-to-3-yrs-jobid-aohXepAGrldzpSvf__PLUS__uAgZw==&source=srp
botree technologies,"securitycompliance, python, html5, svn, javascript, database, django, git, webdeveloper, debugging",https://www.timesjobs.com/job-detail/python-developers-botree-technologies-ahmedabad-3-to-6-yrs-jobid-xKjpNpNLTCNzpSvf__PLUS__uAgZw==&source=srp
ceredox technologies,"fundamentals, algorithms, python, restapi, informationretrieval, docker, react.js, django, git, json, datastructures",https://www.timesjobs.com/job-detail/python-developer-ceredox-technologies-hyderabad-secunderabad-2-to-5-yrs-jobid-zxPcAW7nLEZzpSvf__PLUS__uAgZw==&source=srp
